ID_Operador,Nome_Operador,Nivel,TMA_Medio_Min,Resolucao_Primeira_Chamada_Pct,Nota_Media_Cliente,Chamadas_Atendidas,Faltas_Mes
OP-3042,Marina Silva,N1,11.2,72.5,8.1,145,0
OP-1022,João Pereira,N1,5.8,91.3,9.4,203,1
OP-5900,Carlos Mendes,N2,16.5,85.0,7.8,98,0
OP-2015,Ana Rodrigues,N1,8.4,68.0,6.2,167,3
OP-4401,Pedro Souza,N2,14.1,88.7,8.9,112,0
OP-3088,Fernanda Lima,N1,7.1,79.4,7.5,189,1
OP-6620,Ricardo Alves,N3,22.3,95.2,9.1,45,0
OP-1190,Beatriz Costa,N1,13.9,55.0,5.3,134,2
OP-7745,Marcos Oliveira,N2,15.7,82.1,8.0,87,0
OP-2233,Juliana Santos,N1,6.3,88.9,8.7,210,0
OP-8801,Thiago Nascimento,N1,9.0,61.2,6.8,156,4
OP-4455,Camila Ferreira,N2,12.8,90.5,9.2,105,0
OP-9910,Lucas Barbosa,N1,10.5,73.8,7.0,142,1
OP-3377,Patricia Moreira,N3,19.8,93.0,8.8,52,0
